"Date (yymmdd);Data set;Measured crack length (m);Modeled crack length (m);Slab elastic modulus (Pa);Weak layer fracture energy (J m-2);RB score;Modeled failure initiation criterion;Weak layer strength (Pa);Slab thickness (m);""Observation of propagation in PST or RB (1=partial, 0=full)"";Modeled slab tensile criterion;Slab density (kg m-3);""Observation of signs of instability""",
120228;PST, SOI;0.57;0.54;9315306;1.16;NaN;240;87752;0.41;0;0.36;364;none
120228;PST, SOI;0.56;0.52;11109619;0.96;NaN;341;108151;0.49;0;0.47;362;none
120228;PST, SOI;0.5;0.44;8314737;0.75;NaN;267;89339;0.49;0;0.5;330;none
140225;PST, SOI;0.31;0.25;908468;0.49;NaN;153;70925;0.34;0;0.67;180;none
140225;PST, SOI;0.32;0.26;997503;0.46;NaN;165;78728;0.37;0;0.65;172;none
140225;PST, SOI;0.32;0.26;997503;0.46;NaN;165;78728;0.37;0;0.65;172;none
150213;PST, SOI;0.27;0.34;2442768;0.56;NaN;180;69051;0.32;1;0.46;257;none
150213;PST, SOI;0.3;0.39;2807364;0.77;NaN;186;75129;0.34;1;0.16;265;none
150213;PST, SOI;0.26;0.38;3216354;0.67;NaN;162;67230;0.34;1;0.06;275;none
150213;PST, SOI;0.22;0.34;3188415;0.52;NaN;153;58364;0.34;1;0;274;none
150219;PST, SOI;0.34;0.49;5062185;0.78;NaN;358;110876;0.39;1;0.22;262;none
150219;PST, SOI;0.34;0.46;4956483;0.68;NaN;277;87433;0.39;1;0.2;263;none
150219;PST, SOI;0.35;0.49;5219437;0.77;NaN;386;106632;0.38;1;0.18;266;none
150219;PST, SOI;0.32;0.46;4977328;0.69;NaN;285;90886;0.38;1;0;263;none
150219;PST, SOI;0.38;0.47;4851667;0.74;NaN;311;84982;0.37;1;0.72;264;none
030214;RB;NaN;0.4;1939144;1.1;3;80;53273;0.19;1;0.64;258;noinfo,
030416;RB;NaN;0.54;7667979;1.2;3;95;58772;0.11;0;0.48;258;noinfo,
031129;RB;NaN;0.35;1455051;0.64;3;116;53155;0.33;0;0.44;202;noinfo,
031213;RB;NaN;0.49;3297502;1.34;6;220;116248;0.23;0;0.87;266;noinfo,
031217;RB;NaN;0.39;2927893;1.02;4;164;61192;0.49;1;0.69;257;noinfo,
040102;RB;NaN;0.19;315161;0.13;3;73;43541;0.13;0;1;113;noinfo,
040214;RB;NaN;0.47;2233163;1.66;3;106;59427;0.24;0;1;267;noinfo,
040316;RB;NaN;0.43;4061982;0.69;3;63;51628;0.12;1;0.54;222;noinfo,
040318;RB, SOI;NaN;0.5;2695398;1.44;2;99;56512;0.33;0;0.84;268;none
040322;RB;NaN;0.47;1869335;1.34;3;62;45242;0.26;1;0.84;237;noinfo,
040405;RB;NaN;0.28;877523;0.58;3;34;48715;0.05;0;1;165;noinfo,
041201;RB;NaN;0.19;1703635;0.28;4;99;37460;0.33;1;0;245;noinfo,
050105;RB;NaN;0.16;2092295;0.36;2;126;38767;0.46;1;0.33;252;noinfo,
050302;RB;NaN;0.2;1155301;0.37;4;120;63567;0.31;1;0.36;226;noinfo,
050413;RB;NaN;0.32;1733701;0.9;4;207;80701;0.48;0;0.64;226;noinfo,
060104;RB, SOI;NaN;0.05;1039689;0.23;2;150;43553;0.51;1;1;236;all
060116;RB, SOI;NaN;0.26;775055;0.45;4;71;47497;0.18;0;0.59;203;none
060127;RB;NaN;0.22;892389;0.3;3;86;58742;0.26;1;0.39;185;noinfo,
060201;RB, SOI;NaN;0.42;3465931;0.83;6;278;103335;0.33;0;0.61;280;none
060203;RB, SOI;NaN;0.47;2647059;1.36;5;236;148279;0.29;0;0.68;270;none
060215;RB, SOI;NaN;0.41;3524635;0.79;6;391;108561;0.43;0;0.45;270;none
060216;RB;NaN;0.01;109927;0.13;2;107;24056;0.44;1;0;97;noinfo,
060221;RB, SOI;NaN;0.2;363595;0.23;3;73;44453;0.16;1;1;148;all
060227;RB, SOI;NaN;0.22;316347;0.2;2;63;56048;0.09;1;1;99;none
060318;RB, SOI;NaN;0.49;2378324;1.64;6;170;114365;0.28;0;0.62;273;none
060318;RB, SOI;NaN;0.68;12598443;1.83;2;266;125562;0.34;1;0.36;409;none
060318;RB, SOI;NaN;0.49;4418909;1.25;4;187;83693;0.33;0;0.55;318;none
071227;RB, SOI;NaN;0.35;938908;0.72;5;125;83176;0.29;0;1;175;none
071230;RB, SOI;NaN;0.13;1300299;0.3;6;176;58153;0.41;0;0.33;233;none
080110;RB, SOI;NaN;0.35;1804129;0.9;6;181;64149;0.41;0;1;229;none
080214;RB, SOI;NaN;0.78;6316948;3.05;5;312;125153;0.48;1;1;303;none
080313;RB, SOI;NaN;0.09;1052084;0.17;2;118;48430;0.37;1;0;210;all
080216;RB, SOI;NaN;0.21;646555;0.34;4;66;40639;0.2;1;0.45;196;scr
071130;RB, SOI;NaN;0.25;1136233;0.36;5;30;20332;0.2;0;0.51;230;none
080116;RB, SOI;NaN;0.11;1058390;0.17;3;103;44286;0.39;1;0.12;185;scr
071228;RB, SOI;NaN;0.27;5558046;0.2;2;85;57316;0.11;1;0.76;360;none
071130;RB, SOI;NaN;0.25;2044004;0.52;4;100;46766;0.4;1;0.2;250;none
080110;RB, SOI;NaN;0.53;18983580;0.67;3;190;88916;0.16;1;0.88;423;none
080113;RB, SOI;NaN;0.29;2790618;0.2;2;76;42354;0.24;1;1;212;wum
080113;RB, SOI;NaN;0.19;457776;0.22;2;70;39319;0.23;1;0.4;144;all
080216;RB, SOI;NaN;0.14;1495090;0.18;6;110;47396;0.32;0;0.77;232;none
071228;RB, SOI;NaN;0.24;4835440;0.25;4;159;46041;0.24;1;0;383;none
080104;RB;NaN;0.4;11835360;0.35;4;137;71439;0.25;1;0.46;387;noinfo,
080111;RB, SOI;NaN;0.1;3368616;0.25;4;114;31506;0.52;1;0;318;wum
080211;RB, SOI;NaN;0.25;3855898;0.39;6;194;50453;0.47;0;0.09;267;none
080118;RB, SOI;NaN;0.1;2804002;0.3;6;147;36306;0.61;0;0.39;280;all
080215;RB, SOI;NaN;0.46;2700576;0.77;6;93;51221;0.3;0;0.44;216;none
071229;RB, SOI;NaN;0.14;471741;0.23;5;73;39099;0.24;0;0;188;none
080106;RB, SOI;NaN;0.13;618620;0.14;2;81;35680;0.27;1;0.75;162;all
070125;RB, SOI;NaN;0.51;2066939;1.57;4;211;170150;0.23;1;1;214;none
070216;RB, SOI;NaN;0.3;1872050;0.62;5;136;67810;0.33;0;0.63;255;none
070308;RB, SOI;NaN;0.29;4388153;0.34;5;131;43731;0.43;0;0.6;263;none
070315;RB, SOI;NaN;0.24;6822055;0.32;3;71;24699;0.4;1;0;375;scr
080110;RB, SOI;NaN;0.18;518620;0.14;2;28;23545;0.17;1;0.65;142;wum
080117;RB, SOI;NaN;0.39;5673884;0.48;5;173;70750;0.29;1;0.86;302;all
080131;RB, SOI;NaN;0.15;1857847;0.23;4;104;38175;0.44;1;0;227;none
080207;RB, SOI;NaN;0.06;682408;0.11;4;88;29453;0.34;1;0;210;wum
080318;RB, SOI;NaN;0.17;222200;0.23;4;59;42795;0.17;0;0.91;132;none
090114;RB, SOI;NaN;0.33;1214189;0.86;5;199;114043;0.35;0;0.44;212;none
090130;RB, SOI;NaN;0.21;970803;0.32;4;71;39958;0.33;0;0.21;178;none
090205;RB, SOI;NaN;0.13;796992;0.34;5;176;61074;0.48;1;0;183;none
090219;RB, SOI;NaN;0.09;1136719;0.32;5;221;47604;0.64;0;0.26;198;wum
